State,Data Type,Average Weekly Earnings,Average Yearly Earnings  (x48)
ID,Asian-Pacific Islander,$807.23 ,"$38,746.82 "
ID,Hispanic/Latino,$665.73 ,"$31,955.03 "
ID,Multiracial,$739.41 ,"$35,491.47 "
IL,White,"$1,096.62 ","$52,637.65 "
IL,Black,$818.17 ,"$39,272.32 "
IL,Native American/American Indian,$637.76 ,"$30,612.26 "
IL,Asian-Pacific Islander,"$1,169.65 ","$56,143.34 "
IL,Hispanic/Latino,$751.06 ,"$36,051.08 "
IL,Multiracial,$777.12 ,"$37,301.65 "
IN,White,$919.82 ,"$44,151.21 "
IN,Black,$730.75 ,"$35,076.01 "
IN,Native American/American Indian,"$1,157.91 ","$55,579.60 "
IN,Asian-Pacific Islander,"$1,003.19 ","$48,152.95 "
IN,Hispanic/Latino,$746.36 ,"$35,825.26 "
IN,Multiracial,$723.43 ,"$34,724.78 "
KS,White,$958.49 ,"$46,007.50 "
KS,Black,$697.86 ,"$33,497.15 "
KS,Native American/American Indian,$945.76 ,"$45,396.47 "
KS,Asian-Pacific Islander,"$1,045.05 ","$50,162.52 "
KS,Hispanic/Latino,$664.05 ,"$31,874.22 "
KS,Multiracial,$683.48 ,"$32,806.91 "
KY,White,$879.66 ,"$42,223.75 "
KY,Black,$700.28 ,"$33,613.32 "
KY,Native American/American Indian,$644.11 ,"$30,917.52 "
KY,Asian-Pacific Islander,"$1,104.24 ","$53,003.42 "
KY,Hispanic/Latino,$638.77 ,"$30,661.17 "
KY,Multiracial,$739.66 ,"$35,503.65 "
LA,White,$995.14 ,"$47,766.91 "
LA,Black,$684.75 ,"$32,868.08 "
LA,Native American/American Indian,$977.83 ,"$46,935.65 "
LA,Asian-Pacific Islander,$919.97 ,"$44,158.59 "
LA,Hispanic/Latino,$839.78 ,"$40,309.68 "
LA,Multiracial,$903.91 ,"$43,387.57 "
MA,White,"$1,186.41 ","$56,947.75 "
MA,Black,$849.90 ,"$40,795.25 "
MA,Native American/American Indian,$882.08 ,"$42,339.87 "
MA,Asian-Pacific Islander,"$1,287.47 ","$61,798.66 "
MA,Hispanic/Latino,$783.28 ,"$37,597.56 "
MA,Multiracial,$980.79 ,"$47,077.92 "
MD,White,"$1,264.33 ","$60,688.02 "
MD,Black,$988.30 ,"$47,438.19 "
MD,Native American/American Indian,"$1,429.87 ","$68,633.94 "
MD,Asian-Pacific Islander,"$1,173.92 ","$56,348.08 "
MD,Hispanic/Latino,$806.77 ,"$38,724.87 "
MD,Multiracial,$968.45 ,"$46,485.81 "
ME,White,$895.89 ,"$43,002.78 "
ME,Black,$562.99 ,"$27,023.45 "
ME,Native American/American Indian,$538.64 ,"$25,854.61 "
ME,Asian-Pacific Islander,"$1,114.98 ","$53,518.92 "
ME,Hispanic/Latino,$748.96 ,"$35,950.06 "
ME,Multiracial,$701.74 ,"$33,683.61 "
MI,White,$965.10 ,"$46,324.70 "
MI,Black,$759.47 ,"$36,454.36 "
MI,Native American/American Indian,$729.66 ,"$35,023.89 "
MI,Asian-Pacific Islander,"$1,161.06 ","$55,731.08 "
MI,Hispanic/Latino,$744.78 ,"$35,749.50 "
MI,Multiracial,$663.56 ,"$31,851.02 "
MN,White,"$1,061.05 ","$50,930.42 "
MN,Black,$755.94 ,"$36,285.36 "
MN,Native American/American Indian,$719.84 ,"$34,552.41 "
MN,Asian-Pacific Islander,$994.54 ,"$47,737.76 "
MN,Hispanic/Latino,$740.78 ,"$35,557.34 "
MN,Multiracial,$831.33 ,"$39,903.82 "
MO,White,$933.34 ,"$44,800.22 "
MO,Black,$757.31 ,"$36,350.68 "
MO,Native American/American Indian,$849.09 ,"$40,756.19 "
MO,Asian-Pacific Islander,$982.02 ,"$47,136.82 "
MO,Hispanic/Latino,$777.98 ,"$37,343.06 "
MO,Multiracial,$725.66 ,"$34,831.59 "
MS,White,$912.00 ,"$43,775.91 "
MS,Black,$684.03 ,"$32,833.58 "
MS,Native American/American Indian,$707.51 ,"$33,960.45 "
MS,Asian-Pacific Islander,$730.27 ,"$35,053.02 "
MS,Hispanic/Latino,$651.35 ,"$31,264.86 "
MS,Multiracial,$535.74 ,"$25,715.50 "
MT,White,$863.89 ,"$41,466.79 "
MT,Black,$823.49 ,"$39,527.64 "
MT,Native American/American Indian,$726.37 ,"$34,865.80 "
MT,Asian-Pacific Islander,$787.00 ,"$37,775.86 "
MT,Hispanic/Latino,$664.42 ,"$31,892.15 "
MT,Multiracial,$701.78 ,"$33,685.46 "
NC,White,"$1,019.61 ","$48,941.17 "
NC,Black,$738.42 ,"$35,444.24 "
NC,Native American/American Indian,$718.04 ,"$34,465.84 "
NC,Asian-Pacific Islander,"$1,141.57 ","$54,795.19 "
NC,Hispanic/Latino,$676.89 ,"$32,490.85 "
NC,Multiracial,$832.33 ,"$39,951.97 "
ND,White,$950.45 ,"$45,621.63 "
ND,Black,$682.29 ,"$32,749.73 "
ND,Native American/American Indian,$726.70 ,"$34,881.64 "
ND,Asian-Pacific Islander,$746.04 ,"$35,810.13 "
ND,Hispanic/Latino,$806.31 ,"$38,702.73 "
ND,Multiracial,$651.18 ,"$31,256.53 "
NE,White,$917.39 ,"$44,034.61 "
NE,Black,$774.00 ,"$37,152.01 "
NE,Native American/American Indian,$548.76 ,"$26,340.29 "
NE,Asian-Pacific Islander,$915.23 ,"$43,931.01 "
NE,Hispanic/Latino,$651.66 ,"$31,279.80 "
NE,Multiracial,$681.18 ,"$32,696.83 "
NH,White,"$1,029.74 ","$49,427.75 "
NH,Black,$841.47 ,"$40,390.65 "
NH,Native American/American Indian,$783.03 ,"$37,585.68 "
NH,Asian-Pacific Islander,"$1,207.83 ","$57,975.89 "
NH,Hispanic/Latino,$797.04 ,"$38,257.75 "
NH,Multiracial,$726.87 ,"$34,890.00 "
NJ,White,"$1,205.49 ","$57,863.53 "
NJ,Black,$890.98 ,"$42,767.21 "
NJ,Native American/American Indian,"$1,157.15 ","$55,543.33 "
NJ,Asian-Pacific Islander,"$1,414.31 ","$67,887.07 "
NJ,Hispanic/Latino,$833.47 ,"$40,006.63 "
NJ,Multiracial,$751.16 ,"$36,055.84 "
NM,White,"$1,010.98 ","$48,527.24 "
NM,Black,$836.39 ,"$40,146.69 "
NM,Native American/American Indian,$703.16 ,"$33,751.81 "
NM,Asian-Pacific Islander,$937.03 ,"$44,977.32 "
NM,Hispanic/Latino,$729.83 ,"$35,031.87 "
NM,Multiracial,$938.94 ,"$45,069.22 "
NV,White,"$1,003.53 ","$48,169.65 "
NV,Black,$732.42 ,"$35,156.07 "
NV,Native American/American Indian,$730.45 ,"$35,061.45 "
NV,Asian-Pacific Islander,$886.12 ,"$42,533.79 "
NV,Hispanic/Latino,$717.25 ,"$34,428.01 "
NV,Multiracial,$877.43 ,"$42,116.45 "
NY,White,"$1,139.50 ","$54,696.12 "
NY,Black,$839.10 ,"$40,277.02 "
NY,Native American/American Indian,$807.10 ,"$38,740.72 "
NY,Asian-Pacific Islander,"$1,111.26 ","$53,340.39 "
NY,Hispanic/Latino,$810.60 ,"$38,908.67 "
NY,Multiracial,$935.47 ,"$44,902.49 "
OH,White,$932.75 ,"$44,771.82 "
OH,Black,$717.16 ,"$34,423.58 "
OH,Native American/American Indian,$800.78 ,"$38,437.65 "
OH,Asian-Pacific Islander,"$1,085.03 ","$52,081.30 "
OH,Hispanic/Latino,$689.71 ,"$33,106.00 "
OH,Multiracial,$674.15 ,"$32,359.41 "
OK,White,$953.95 ,"$45,789.46 "
OK,Black,$748.21 ,"$35,913.97 "
OK,Native American/American Indian,$832.06 ,"$39,939.10 "
OK,Asian-Pacific Islander,$792.75 ,"$38,052.16 "
OK,Hispanic/Latino,$731.50 ,"$35,112.08 "
OK,Multiracial,$855.91 ,"$41,083.45 "
OR,White,"$1,008.29 ","$48,398.12 "
OR,Black,$926.36 ,"$44,465.16 "
OR,Native American/American Indian,$678.90 ,"$32,587.17 "
OR,Asian-Pacific Islander,"$1,104.37 ","$53,009.84 "
OR,Hispanic/Latino,$676.11 ,"$32,453.09 "
OR,Multiracial,$766.93 ,"$36,812.66 "
PA,White,$990.82 ,"$47,559.44 "
PA,Black,$731.91 ,"$35,131.69 "
PA,Native American/American Indian,"$1,120.52 ","$53,785.03 "
PA,Asian-Pacific Islander,"$1,109.90 ","$53,275.36 "
PA,Hispanic/Latino,$753.45 ,"$36,165.64 "
PA,Multiracial,$700.41 ,"$33,619.60 "
RI,White,"$1,058.47 ","$50,806.66 "
RI,Black,$770.26 ,"$36,972.46 "
RI,Native American/American Indian,$471.07 ,"$22,611.39 "
RI,Asian-Pacific Islander,"$1,080.09 ","$51,844.54 "
RI,Hispanic/Latino,$673.14 ,"$32,310.72 "
RI,Multiracial,$971.89 ,"$46,650.92 "
SC,White,$979.02 ,"$46,993.17 "
SC,Black,$719.48 ,"$34,534.92 "
SC,Native American/American Indian,"$1,007.60 ","$48,365.02 "
SC,Asian-Pacific Islander,"$1,099.84 ","$52,792.35 "
SC,Hispanic/Latino,$697.74 ,"$33,491.49 "
SC,Multiracial,$776.55 ,"$37,274.46 "
SD,White,$882.91 ,"$42,379.85 "
SD,Black,$525.69 ,"$25,233.34 "
SD,Native American/American Indian,$727.64 ,"$34,926.83 "
SD,Asian-Pacific Islander,$725.81 ,"$34,839.12 "
SD,Hispanic/Latino,$693.16 ,"$33,271.76 "
SD,Multiracial,$645.85 ,"$31,000.58 "
TN,White,$925.49 ,"$44,423.35 "
TN,Black,$752.30 ,"$36,110.31 "
TN,Native American/American Indian,$888.80 ,"$42,662.31 "
TN,Asian-Pacific Islander,$974.95 ,"$46,797.44 "
TN,Hispanic/Latino,$770.93 ,"$37,004.73 "
TN,Multiracial,$825.18 ,"$39,608.59 "
TX,White,"$1,114.04 ","$53,473.90 "
TX,Black,$826.46 ,"$39,670.24 "
TX,Native American/American Indian,$956.29 ,"$45,901.93 "
TX,Asian-Pacific Islander,"$1,126.13 ","$54,054.01 "
TX,Hispanic/Latino,$742.01 ,"$35,616.45 "
TX,Multiracial,$800.42 ,"$38,420.30 "
UT,White,$927.22 ,"$44,506.40 "
UT,Black,$694.40 ,"$33,331.37 "
UT,Native American/American Indian,$875.49 ,"$42,023.58 "
UT,Asian-Pacific Islander,$905.75 ,"$43,475.78 "
UT,Hispanic/Latino,$705.53 ,"$33,865.41 "
UT,Multiracial,$811.75 ,"$38,964.21 "
VA,White,"$1,164.85 ","$55,912.58 "
VA,Black,$843.18 ,"$40,472.57 "
VA,Native American/American Indian,$728.02 ,"$34,944.82 "
VA,Asian-Pacific Islander,"$1,270.59 ","$60,988.11 "
VA,Hispanic/Latino,$838.92 ,"$40,268.02 "
VA,Multiracial,$880.60 ,"$42,268.87 "
VT,White,$937.16 ,"$44,983.77 "
VT,Black,$626.87 ,"$30,089.62 "
VT,Native American/American Indian,$737.80 ,"$35,414.54 "
VT,Asian-Pacific Islander,"$1,081.82 ","$51,927.37 "
VT,Hispanic/Latino,$824.82 ,"$39,591.44 "
VT,Multiracial,$644.12 ,"$30,917.62 "
WA,White,"$1,140.89 ","$54,762.86 "
WA,Black,$916.07 ,"$43,971.29 "
WA,Native American/American Indian,$848.37 ,"$40,721.75 "
WA,Asian-Pacific Islander,"$1,234.79 ","$59,269.81 "
WA,Hispanic/Latino,$756.73 ,"$36,322.83 "
WA,Multiracial,$965.71 ,"$46,354.17 "
WI,White,$934.61 ,"$44,861.24 "
WI,Black,$696.10 ,"$33,412.58 "
WI,Native American/American Indian,$529.23 ,"$25,403.00 "
WI,Asian-Pacific Islander,$935.36 ,"$44,897.20 "
WI,Hispanic/Latino,$644.66 ,"$30,943.57 "
WI,Multiracial,$694.78 ,"$33,349.40 "
WV,White,$851.59 ,"$40,876.44 "
WV,Black,$721.99 ,"$34,655.42 "
WV,Native American/American Indian,$375.74 ,"$18,035.34 "
WV,Asian-Pacific Islander,$877.13 ,"$42,102.38 "
WV,Hispanic/Latino,$742.64 ,"$35,646.82 "
WV,Multiracial,$650.54 ,"$31,225.83 "
WY,White,$924.53 ,"$44,377.34 "
WY,Black,$882.62 ,"$42,365.99 "
WY,Native American/American Indian,$669.09 ,"$32,116.54 "
WY,Asian-Pacific Islander,$827.35 ,"$39,712.57 "
WY,Hispanic/Latino,$781.20 ,"$37,497.71 "
WY,Multiracial,$671.63 ,"$32,238.16 "
